R,G,B,Type
77,142,91,1
99,180,231,1
152,4,218,1
171,244,36,1
152,49,115,1
81,220,77,1
208,121,111,1
128,67,107,1
108,140,0,1
94,251,85,1
242,108,102,1
88,103,25,0
42,69,20,0
100,85,187,1
115,216,221,1
31,141,255,1
131,73,87,1
186,32,95,1
56,184,53,1
40,182,180,1
198,86,52,1
33,16,120,0
191,108,229,1
64,30,181,1
41,80,224,1
15,96,172,1
227,65,146,1
122,104,207,1
135,162,116,1
115,100,11,0
170,160,154,1
84,75,173,1
182,176,229,1
214,79,2,1
224,198,121,1
30,121,18,0
86,158,84,1
89,14,90,0
20,158,194,1
164,76,66,1
14,144,135,1
31,64,74,0
13,150,87,1
161,55,163,1
152,169,174,1
165,140,23,1
150,146,204,1
33,221,241,1
125,53,145,1
239,227,58,1
202,23,138,1
240,39,14,1
201,5,70,1
199,144,130,1
84,205,210,1
88,246,200,1
29,247,247,1
59,127,90,0
226,211,149,1
101,161,132,1
195,72,59,1
89,65,29,0
2,250,240,1
102,163,170,1
168,217,116,1
224,97,136,1
179,148,118,1
14,230,62,1
204,88,64,1
79,174,112,1
113,155,171,1
213,132,4,1
149,43,123,1
91,195,207,1
92,8,156,1
107,9,201,1
12,229,84,1
211,43,87,1
142,203,248,1
99,231,13,1
216,80,69,1
253,109,147,1
205,159,211,1
177,32,4,1
153,199,213,1
209,17,101,1
82,198,24,1
44,103,75,0
167,74,14,1
9,118,83,0
241,221,34,1
210,101,71,1
4,114,202,1
36,69,64,0
163,59,8,1
191,93,216,1
133,204,220,1
10,233,86,1
231,240,12,1
53,8,45,0
98,108,202,1
44,90,33,0
179,192,58,1
103,224,83,1
164,215,131,1
13,125,14,0
226,127,244,1
92,51,196,1
197,152,28,1
167,196,88,1
45,53,23,0
67,133,104,1
79,125,174,1
136,160,115,1
179,220,51,1
54,226,99,1
208,105,133,1
138,125,66,1
45,191,116,1
18,108,167,1
157,195,195,1
187,198,213,1
197,148,48,1
55,199,136,1
245,22,92,1
100,81,253,1
140,63,141,1
24,23,239,1
121,172,150,1
31,245,15,1
24,138,124,1
166,72,198,1
121,141,249,1
226,211,212,1
184,205,41,1
120,117,80,0
88,139,143,1
5,47,132,1
254,182,183,1
112,176,48,1
79,40,224,1
10,213,55,1
43,61,56,0
19,108,109,0
74,73,150,1
220,74,210,1
153,44,216,1
24,1,230,1
61,107,35,0
67,26,117,0
190,251,249,1
238,84,122,1
4,144,204,1
120,86,124,0
57,140,87,1
15,28,113,0
172,24,245,1
182,11,248,1
55,15,113,0
71,108,165,1
189,235,119,1
230,137,127,1
194,122,85,1
84,183,30,1
84,42,232,1
27,199,95,1
228,168,160,1
142,32,81,1
246,222,150,1
14,74,100,0
55,58,253,1
4,187,247,1
237,159,220,1
114,0,185,1
180,205,232,1
225,161,237,1
134,6,236,1
41,210,150,1
141,143,132,1
255,22,66,1
75,198,204,1
233,159,236,1
246,143,159,1
55,58,16,0
77,236,22,1
162,181,124,1
240,252,8,1
32,80,97,0
236,94,238,1
50,225,52,1
228,135,223,1
233,144,16,1
110,207,193,1
119,116,162,1
203,209,127,1
139,210,116,1
245,5,72,1
119,93,87,0
91,12,111,0
255,13,3,1
232,44,209,1
184,146,66,1
19,233,253,1
73,128,233,1
231,214,229,1
108,134,241,1
63,45,191,1
136,115,82,1
208,58,67,1
244,159,186,1
85,223,115,1
184,69,153,1
241,95,76,1
175,162,105,1
233,123,55,1
47,80,123,0
165,243,129,1
251,53,232,1
230,239,44,1
138,235,138,1
87,250,214,1
43,157,127,1
64,142,131,1
227,52,67,1
21,228,242,1
75,182,56,1
70,104,231,1
152,52,145,1
24,97,74,0
96,0,77,0
230,15,29,1
167,250,73,1
87,86,192,1
140,76,45,1
48,17,132,1
108,60,218,1
20,143,113,1
220,118,85,1
172,168,166,1
170,41,133,1
200,127,255,1
188,34,118,1
239,13,53,1
4,90,84,0
108,236,155,1
190,28,216,1
107,244,36,1
228,173,120,1
233,45,26,1
227,150,158,1
101,107,45,0
56,39,83,0
135,249,150,1
110,16,231,1
50,45,186,1
224,74,144,1
159,78,6,1
204,194,161,1
188,141,250,1
14,101,247,1
93,186,170,1
60,50,224,1
199,134,18,1
29,16,188,1
91,117,97,0
156,137,208,1
83,241,101,1
113,140,214,1
76,124,255,1
228,205,23,1
35,231,142,1
103,235,200,1
102,141,27,1
247,58,53,1
198,116,217,1
239,232,12,1
202,161,229,1
188,160,249,1
7,78,22,0
145,95,183,1
45,245,111,1
200,252,173,1
28,9,149,1
222,151,124,1
194,249,190,1
38,224,200,1
28,121,95,0
69,6,66,0
127,113,226,1
0,28,124,0
142,188,155,1
87,57,88,0
191,120,33,1
5,217,10,1
95,66,10,0
227,213,89,1
37,70,148,1
35,104,117,0
193,118,230,1
226,196,190,1
154,33,232,1
249,37,134,1
88,99,140,1
210,180,31,1
78,173,129,1
101,200,113,1
11,139,102,1
93,57,21,0
189,74,136,1
138,21,174,1
79,100,195,1
117,21,166,1
4,79,98,0
90,20,0,0
209,6,176,1
44,88,243,1
138,119,93,1
105,14,168,1
160,128,122,1
41,92,54,0
157,148,146,1
44,197,170,1
130,222,191,1
134,15,185,1
164,233,14,1
48,245,108,1
102,35,137,1
7,85,198,1
226,39,114,1
0,231,179,1
128,150,213,1
218,187,36,1
95,14,5,0
92,59,85,0
229,26,140,1
68,48,103,0
206,39,114,1
165,62,164,1
169,219,59,1
19,121,146,1
131,102,83,1
95,199,132,1
99,167,237,1
223,126,15,1
147,137,101,1
188,78,124,1
123,13,45,0
22,222,69,1
183,118,96,1
250,242,206,1
66,112,61,0
41,222,154,1
25,253,180,1
146,76,41,1
239,129,155,1
49,245,187,1
109,9,167,1
113,177,115,1
251,34,40,1
217,48,194,1
119,81,8,0
114,254,4,1
139,51,190,1
52,73,255,1
155,249,206,1
41,249,143,1
54,78,204,1
149,24,241,1
119,104,25,0
144,67,54,1
244,87,116,1
56,66,82,0
113,200,84,1
245,46,29,1
113,120,76,0
111,20,101,0
178,90,24,1
23,124,216,1
158,62,178,1
238,229,235,1
189,116,16,1
79,244,55,1
171,73,47,1
123,157,66,1
184,202,230,1
42,83,19,0
121,196,99,1
180,113,18,1
177,178,208,1
120,229,253,1
226,4,0,1
252,251,161,1
12,25,216,1
181,158,9,1
86,91,96,0
106,37,50,0
167,149,251,1
100,230,99,1
187,225,179,1
197,193,121,1
66,64,110,0
170,9,57,1
28,61,107,0
131,192,13,1
182,41,129,1
180,80,9,1
241,152,70,1
188,221,135,1
11,136,157,1
128,61,119,1
43,165,50,1
120,243,1,1
115,216,181,1
211,210,235,1
84,108,57,0
210,76,16,1
7,191,237,1
24,41,255,1
112,21,236,1
36,4,109,0
55,63,60,0
158,132,104,1
144,149,94,1
186,218,126,1
165,80,247,1
130,13,143,1
89,119,203,1
16,35,222,1
243,165,0,1
141,4,216,1
58,109,180,1
223,104,52,1
13,243,92,1
166,236,145,1
26,245,223,1
119,234,179,1
207,28,188,1
28,60,226,1
131,104,122,1
232,253,110,1
216,195,20,1
129,207,242,1
179,109,0,1
184,58,233,1
116,65,43,0
44,21,28,0
228,136,58,1
10,124,163,1
230,182,205,1
202,230,251,1
67,187,227,1
14,94,35,0
157,228,159,1
50,3,133,1
154,216,118,1
91,27,4,0
208,171,192,1
15,35,128,1
242,172,58,1
231,194,161,1
103,173,197,1
90,244,147,1
191,78,229,1
128,59,164,1
158,160,137,1
73,49,221,1
17,229,223,1
201,159,89,1
186,190,231,1
116,169,184,1
17,108,151,1
249,212,37,1
91,47,61,0
246,118,90,1
216,60,221,1
93,172,234,1
168,123,22,1
15,94,46,0
233,205,82,1
160,228,83,1
32,207,169,1
40,154,222,1
70,164,132,1
37,140,211,1
189,222,173,1
185,55,117,1
66,147,252,1
252,62,3,1
7,84,150,1
247,131,130,1
125,96,4,0
198,37,74,1
168,34,180,1
108,129,169,1
199,95,1,1
225,220,245,1
195,253,123,1
0,37,151,1
109,48,176,1
101,48,82,0
4,150,66,1
232,95,21,1
159,68,87,1
135,5,102,1
86,166,119,1
161,114,215,1
246,101,251,1
246,110,158,1
54,194,114,1
208,87,84,1
142,100,7,1
149,48,47,1
207,29,225,1
185,60,194,1
71,140,96,1
193,168,56,1
102,51,32,0
101,226,244,1
229,145,208,1
127,190,105,1
72,43,129,1
125,214,70,1
114,147,210,1
63,79,33,0
18,50,192,1
31,112,162,1
90,62,58,0
241,141,132,1
248,254,35,1
62,94,27,0
138,61,252,1
224,47,191,1
12,255,149,1
237,113,199,1
252,178,205,1
185,161,237,1
161,234,77,1
135,79,225,1
2,156,124,1
63,167,159,1
178,110,215,1
68,47,242,1
242,198,230,1
57,163,208,1
138,200,47,1
179,209,243,1
209,85,129,1
100,77,55,0
240,63,166,1
94,94,148,1
80,213,162,1
183,28,83,1
82,120,144,1
156,237,93,1
178,11,4,1
205,136,202,1
179,153,253,1
192,250,58,1
70,124,73,0
35,41,251,1
149,219,44,1
61,22,152,1
124,204,177,1
133,145,162,1
164,132,61,1
239,203,129,1
238,95,198,1
99,171,173,1
27,238,196,1
121,203,158,1
198,31,109,1
189,68,51,1
21,42,134,1
20,156,172,1
76,228,33,1
35,223,201,1
153,61,39,1
208,23,171,1
77,191,74,1
33,142,164,1
128,126,31,1
95,198,100,1
71,173,95,1
37,237,6,1
224,229,155,1
115,55,32,0
160,142,184,1
138,97,168,1
110,16,189,1
58,174,158,1
233,58,223,1
212,97,105,1
118,116,14,0
92,238,29,1
127,156,99,1
219,120,103,1
21,50,17,0
112,244,199,1
202,164,218,1
225,187,242,1
84,181,95,1
110,159,233,1
2,135,23,1
136,246,86,1
86,1,224,1
49,12,37,0
239,21,23,1
6,170,216,1
65,203,239,1
129,248,211,1
63,208,31,1
62,11,49,0
175,169,193,1
187,255,225,1
111,166,127,1
96,206,194,1
66,41,187,1
248,123,61,1
75,155,11,1
249,195,24,1
65,54,42,0
86,83,138,1
147,155,63,1
194,15,14,1
143,147,102,1
18,148,95,1
67,177,209,1
36,191,242,1
189,145,56,1
115,214,110,1
15,221,51,1
163,61,172,1
221,128,178,1
238,67,21,1
190,210,129,1
48,98,42,0
12,166,58,1
75,60,3,0
150,21,27,1
233,215,12,1
154,241,20,1
108,64,70,0
42,227,16,1
255,4,64,1
227,17,108,1
194,3,181,1
50,112,226,1
52,23,84,0
139,169,1,1
26,227,129,1
118,17,97,0
29,208,42,1
3,185,173,1
59,45,184,1
69,147,143,1
22,103,222,1
254,93,164,1
80,8,161,1
150,34,253,1
210,152,52,1
56,32,92,0
1,197,41,1
227,84,1,1
77,104,84,0
70,169,29,1
121,221,145,1
17,228,212,1
164,194,0,1
28,54,208,1
109,152,149,1
64,169,168,1
148,57,40,1
33,150,241,1
113,77,214,1
20,113,208,1
183,193,185,1
182,184,182,1
250,96,53,1
196,217,90,1
57,130,171,1
37,118,112,0
189,6,97,1
82,47,57,0
37,74,202,1
143,156,96,1
214,41,103,1
88,251,182,1
65,201,101,1
207,209,220,1
191,162,22,1
243,49,157,1
71,17,4,0
31,24,108,0
147,155,86,1
121,125,90,0
112,85,63,0
15,198,24,1
112,139,83,1
247,73,205,1
252,207,21,1
20,203,103,1
53,5,26,0
146,208,29,1
49,198,156,1
21,13,129,1
8,79,119,0
17,97,73,0
132,81,247,1
253,129,101,1
188,99,248,1
206,36,130,1
222,196,84,1
35,61,207,1
95,92,233,1
216,224,251,1
251,228,43,1
200,127,146,1
81,14,187,1
119,135,116,1
109,112,23,0
95,238,115,1
32,247,203,1
106,83,5,0
23,236,23,1
151,59,78,1
251,192,6,1
121,217,165,1
140,61,149,1
58,150,78,1
220,21,78,1
108,74,183,1
20,32,130,1
244,194,136,1
52,113,36,0
215,185,76,1
247,91,131,1
130,208,209,1
130,249,42,1
101,196,112,1
130,221,114,1
147,49,169,1
250,29,11,1
205,252,75,1
13,21,6,0
139,32,4,1
113,117,175,1
58,145,109,1
131,222,105,1
41,114,70,0
150,130,235,1
141,153,39,1
82,73,58,0
145,49,205,1
38,182,105,1
39,178,228,1
78,216,72,1
105,171,197,1
184,21,240,1
102,168,151,1
9,37,143,1
240,255,125,1
31,193,39,1
55,106,166,1
231,153,25,1
243,243,245,1
39,155,16,1
132,232,91,1
156,138,196,1
1,48,240,1
196,37,31,1
80,241,230,1
3,56,253,1
106,181,215,1
152,105,120,1
156,233,166,1
134,220,117,1
209,3,229,1
205,17,246,1
183,51,81,1
103,70,142,1
90,151,12,1
187,90,232,1
190,205,109,1
202,89,232,1
5,106,240,1
26,131,17,1
217,234,89,1
162,212,221,1
244,172,171,1
210,167,108,1
204,17,98,1
66,203,170,1
197,172,133,1
143,136,47,1
115,18,17,0
82,8,189,1
126,111,137,1
17,159,106,1
126,147,107,1
235,118,38,1
149,230,122,1
136,51,145,1
183,185,183,1
74,193,145,1
211,115,211,1
117,52,131,1
124,165,218,1
112,47,246,1
111,182,67,1
179,100,30,1
184,168,151,1
133,68,23,1
40,196,39,1
23,141,111,1
233,21,208,1
122,30,140,1
199,45,246,1
199,165,245,1
98,117,175,1
26,6,94,0
217,183,156,1
89,106,36,0
40,47,153,1
36,73,192,1
18,226,104,1
194,213,34,1
198,74,93,1
132,73,100,1
168,101,253,1
211,41,63,1
48,124,69,0
72,29,160,1
140,38,35,1
214,65,136,1
3,137,81,1
23,95,196,1
100,106,191,1
61,8,87,0
29,17,99,0
189,208,202,1
16,163,107,1
115,99,182,1
18,54,22,0
27,47,75,0
104,16,77,0
218,158,188,1
130,225,46,1
59,89,47,0
171,174,134,1
114,199,234,1
1,173,203,1
172,55,38,1
194,156,95,1
19,236,235,1
51,155,159,1
212,56,159,1
208,169,106,1
27,177,108,1
50,250,170,1
102,144,244,1
46,21,218,1
139,168,240,1
39,203,190,1
169,92,58,1
11,106,190,1
238,187,154,1
10,114,79,0
94,172,81,1
19,64,217,1
178,206,152,1
250,14,197,1
157,11,172,1
21,74,5,0
254,246,104,1
87,7,31,0
254,113,119,1
129,162,22,1
96,222,183,1
226,3,224,1
222,145,210,1
35,213,223,1
26,115,157,1
156,239,174,1
191,16,174,1
216,39,83,1
248,78,76,1
114,92,64,0
221,232,52,1
91,59,177,1
100,228,140,1
207,55,150,1
247,23,96,1
128,182,248,1
13,207,186,1
201,20,184,1
82,16,252,1
2,56,98,0
88,186,39,1
161,129,169,1
78,141,142,1
193,37,157,1
98,4,244,1
227,180,206,1
79,144,43,1
81,0,178,1
26,9,28,0
161,140,5,1
238,13,41,1
100,25,137,1
242,224,37,1
224,151,6,1
19,153,233,1
16,147,23,1
122,128,207,1
80,12,70,0
178,7,105,1
7,142,87,1
234,109,39,1
43,81,220,1
20,123,185,1
10,2,122,0
10,69,85,0
248,42,161,1
36,81,196,1
197,155,96,1
71,146,47,1
60,0,245,1
106,150,217,1
155,203,228,1
174,164,166,1
253,105,192,1
148,170,240,1
26,109,131,1
1,235,192,1
18,87,210,1
68,177,249,1
177,75,47,1
104,21,5,0
82,141,4,1
220,21,16,1
149,248,36,1
231,123,39,1
190,159,213,1
135,164,12,1
142,229,93,1
78,126,125,0
176,242,133,1
42,2,151,1
69,206,195,1
96,169,248,1
91,79,118,0
41,122,247,1
93,241,58,1
44,143,104,1
242,188,219,1
167,254,127,1
50,168,184,1
153,2,217,1
183,91,11,1
105,169,7,1
149,248,233,1
14,19,215,1
53,105,152,1
176,28,199,1
31,140,112,1
211,83,192,1
11,80,186,1
99,94,81,0
33,152,245,1
210,203,134,1
50,59,252,1
176,122,59,1
249,211,79,1
102,236,183,1
50,78,91,0
173,144,32,1
73,162,98,1
145,94,157,1
9,24,153,1
35,202,58,1
254,196,102,1
80,98,72,0
176,173,40,1
48,98,150,1
166,35,22,1
41,33,177,1
227,168,116,1
86,227,154,1
150,2,32,1
7,200,42,1
8,198,139,1
58,26,213,1
235,156,230,1
182,8,251,1
253,52,118,1
133,113,220,1
175,138,170,1
232,110,113,1
165,27,170,1
52,113,163,1
100,94,154,1
249,214,113,1
58,116,190,1
254,116,8,1
196,220,66,1
216,56,116,1
200,245,194,1
166,103,78,1
249,80,50,1
251,227,215,1
221,175,15,1
63,214,133,1
18,64,115,0
37,72,85,0
24,140,119,1
39,96,177,1
196,190,88,1
43,247,131,1
67,22,111,0
141,12,15,1
2,235,66,1
23,76,152,1
207,7,65,1
247,136,117,1
135,10,188,1
158,202,132,1
183,14,114,1
49,103,46,0
231,94,113,1
1,44,24,0
55,164,178,1
132,82,99,1
56,246,25,1
93,200,233,1
153,29,77,1
167,89,235,1
146,102,59,1
223,97,66,1
35,37,231,1
216,214,35,1
121,123,90,0
105,87,186,1
113,168,255,1
89,176,5,1
19,8,235,1
18,206,200,1
81,238,64,1
221,114,214,1
157,52,4,1
120,176,55,1
101,18,186,1
10,252,242,1
149,228,174,1
241,65,73,1
153,204,14,1
32,2,199,1
248,243,19,1
210,234,11,1
54,207,62,1
58,197,69,1
48,197,236,1
7,93,28,0
117,157,169,1
50,237,222,1
58,226,32,1
166,147,242,1
4,223,222,1
184,36,163,1
83,141,182,1
164,135,155,1
195,196,92,1
66,32,34,0
213,249,224,1
129,8,156,1
122,188,229,1
15,61,154,1
119,212,59,1
61,103,76,0
67,77,106,0
58,111,130,1
28,154,34,1
96,200,234,1
58,55,146,1
156,116,181,1
56,201,196,1
35,214,53,1
194,164,88,1
20,165,242,1
48,164,10,1
106,192,219,1
109,65,67,0
81,64,25,0
171,13,204,1
144,47,102,1
17,106,224,1
84,86,149,1
150,204,116,1
225,57,68,1
80,210,246,1
255,25,189,1
126,28,43,0
122,5,51,0
79,234,123,1
50,120,235,1
136,95,166,1
239,235,164,1
106,158,28,1
241,71,46,1
53,237,139,1
254,11,189,1
91,172,255,1
38,91,202,1
200,13,68,1
165,83,102,1
189,20,26,1
69,129,153,1
110,199,176,1
172,149,68,1
225,112,189,1
119,177,15,1
41,41,81,0
80,235,198,1
31,124,170,1
91,74,112,0
25,199,181,1
201,109,47,1
16,46,173,1
126,37,12,0
59,242,115,1
63,158,187,1
154,235,36,1
116,144,146,1
72,201,232,1
16,163,78,1
203,195,85,1
21,106,140,1
198,92,149,1
175,65,211,1
202,72,81,1
5,119,108,0
54,166,123,1
52,113,18,0
116,59,229,1
106,190,167,1
131,241,54,1
3,36,122,0
209,5,157,1
137,35,251,1
18,112,33,0
211,172,231,1
77,236,158,1
28,133,6,1
24,243,226,1
59,105,94,0
169,5,57,1
6,226,117,1
242,249,150,1
10,225,252,1
45,140,237,1
57,117,203,1
198,113,170,1
0,239,162,1
48,37,232,1
225,164,163,1
85,34,41,0
224,38,11,1
65,65,106,0
16,83,198,1
214,110,29,1
185,82,215,1
96,50,217,1
151,177,154,1
230,57,120,1
8,45,73,0
18,75,249,1
136,115,86,1
97,134,32,1
122,233,22,1
110,196,54,1
106,183,17,1
25,33,165,1
249,196,108,1
66,183,24,1
117,231,160,1
181,144,222,1
233,136,186,1
188,196,243,1
241,81,121,1
72,134,77,1
62,115,220,1
167,58,101,1
136,84,170,1
44,214,50,1
49,70,1,0
167,213,41,1
226,110,117,1
62,103,240,1
79,195,194,1
66,125,180,1
205,163,166,1
84,91,147,1
127,138,209,1
231,88,240,1
84,196,39,1
166,16,123,1
236,29,255,1
251,208,43,1
226,166,148,1
99,45,98,0
117,195,58,1
198,173,82,1
166,62,68,1
212,173,84,1
208,224,219,1
47,169,54,1
72,140,227,1
173,255,64,1
138,175,40,1
247,117,198,1
227,244,36,1
12,30,242,1
223,111,96,1
134,126,129,1
0,55,97,0
206,61,151,1
33,196,137,1
226,139,70,1
80,142,79,1
189,199,117,1
217,23,177,1
49,100,58,0
172,202,240,1
56,228,96,1
246,198,144,1
255,2,96,1
114,131,221,1
84,44,97,0
144,206,26,1
251,81,113,1
98,172,28,1
46,243,147,1
185,42,187,1
160,9,81,1
195,136,2,1
149,240,43,1
244,35,233,1
182,163,140,1
54,42,141,1
9,95,167,1
153,61,121,1
56,9,210,1
5,53,169,1
94,151,249,1
172,125,220,1
75,83,15,0
80,54,226,1
79,37,144,1
80,125,39,0
103,203,195,1
90,235,202,1
229,79,5,1
107,194,60,1
91,46,142,1
7,133,231,1
119,85,9,0
187,11,196,1
145,240,228,1
107,110,69,0
31,73,251,1
53,35,237,1
101,175,73,1
38,81,252,1
114,230,198,1
41,108,174,1
202,173,232,1
103,170,19,1
70,129,18,1
125,92,140,1
38,249,227,1
91,4,59,0
192,93,251,1
219,185,37,1
61,87,119,0
175,14,127,1
244,209,223,1
78,159,40,1
234,91,129,1
224,73,85,1
40,166,248,1
103,92,193,1
115,93,99,0
141,183,92,1
71,239,202,1
125,200,132,1
228,11,86,1
112,102,62,0
21,17,101,0
4,1,147,1
52,13,217,1
238,194,139,1
198,70,27,1
49,44,83,0
169,180,159,1
230,65,139,1
65,88,192,1
206,17,192,1
55,3,26,0
103,40,254,1
192,28,198,1
79,93,224,1
102,242,188,1
90,188,254,1
43,124,202,1
65,85,39,0
168,52,105,1
148,218,126,1
125,241,58,1
4,14,155,1
104,207,125,1
14,134,249,1
95,178,97,1
123,251,106,1
79,33,56,0
49,43,78,0
36,235,65,1
60,236,192,1
201,252,245,1
87,183,242,1
0,89,104,0
19,225,225,1
69,4,21,0
2,27,126,0
91,90,159,1
37,87,148,1
236,247,179,1
232,207,254,1
3,120,13,0
173,19,153,1
237,98,62,1
197,123,183,1
190,207,217,1
18,127,144,1
202,202,121,1
220,188,14,1
102,65,24,0
253,125,61,1
137,205,89,1
217,69,236,1
134,167,72,1
90,170,222,1
4,187,162,1
220,174,150,1
189,183,241,1
253,219,136,1
79,154,83,1
57,196,207,1
35,183,16,1
139,217,18,1
82,218,93,1
32,111,71,0
251,194,57,1
32,1,133,1
111,195,14,1
93,238,183,1
194,181,184,1
84,123,210,1
242,136,237,1
178,87,159,1
123,10,129,1
194,15,23,1
46,246,23,1
44,14,113,0
11,80,161,1
93,163,90,1
165,33,9,1
177,72,153,1
50,96,42,0
227,14,157,1
255,141,148,1
222,27,56,1
215,125,252,1
1,238,131,1
31,98,151,1
34,155,212,1
93,174,57,1
63,29,243,1
217,142,216,1
236,155,251,1
217,122,56,1
249,89,216,1
5,129,42,1
251,250,4,1
23,11,220,1
130,183,226,1
201,116,185,1
92,55,178,1
252,173,68,1
224,213,175,1
104,4,252,1
86,34,136,1
180,216,73,1
54,26,213,1
6,61,148,1
232,179,26,1
116,168,186,1
237,191,10,1
185,3,113,1
185,248,44,1
81,153,253,1
193,231,108,1
37,8,93,0
195,76,87,1
229,233,248,1
79,232,100,1
234,77,203,1
51,169,184,1
45,237,187,1
23,105,134,1
144,53,19,1
127,202,217,1
136,245,149,1
109,128,158,1
94,197,131,1
162,59,195,1
189,126,80,1
216,40,5,1
77,52,159,1
88,59,67,0
133,218,222,1
138,199,25,1
176,248,92,1
13,107,164,1
159,150,84,1
74,78,35,0
76,160,13,1
220,64,237,1
31,90,198,1
12,253,255,1
117,234,2,1
168,55,14,1
36,64,155,1
186,99,63,1
198,13,128,1
203,72,248,1
25,211,0,1
92,89,104,0
9,42,95,0
185,151,130,1
201,152,171,1
58,193,123,1
117,129,118,1
19,248,129,1
162,102,118,1
213,59,242,1
154,236,15,1
205,141,116,1
149,184,37,1
139,206,68,1
104,203,193,1
80,215,92,1
167,234,184,1
166,39,13,1
72,236,70,1
238,134,187,1
26,175,82,1
4,158,150,1
140,174,137,1
56,101,126,0
46,134,200,1
119,232,154,1
90,153,110,1
38,133,228,1
113,17,235,1
61,218,240,1
103,147,141,1
49,217,4,1
210,145,215,1
26,190,41,1
216,28,100,1
193,231,163,1
228,241,186,1
209,209,223,1
28,241,63,1
154,244,233,1
8,146,244,1
103,217,236,1
12,110,131,1
115,195,111,1
202,153,33,1
193,143,109,1
251,71,78,1
253,102,35,1
128,70,166,1
237,15,54,1
135,88,158,1
156,124,81,1
109,74,164,1
118,55,195,1
209,21,241,1
74,44,181,1
240,87,223,1
215,187,106,1
241,231,228,1
146,114,49,1
141,94,112,1
224,51,240,1
199,11,169,1
103,192,17,1
54,252,84,1
69,101,223,1
106,82,81,0
243,123,223,1
205,143,18,1
6,58,190,1
144,120,169,1
120,54,9,0
93,156,14,1
82,218,87,1
174,252,30,1
176,122,160,1
216,135,46,1
54,135,96,1
124,139,164,1
64,170,226,1
7,10,32,0
157,107,62,1
20,93,95,0
240,241,118,1
197,113,82,1
228,173,60,1
101,199,60,1
164,99,243,1
24,167,248,1
68,240,2,1
174,120,22,1
86,21,61,0
196,78,149,1
221,94,200,1
172,238,173,1
219,159,2,1
10,12,247,1
189,143,201,1
59,44,102,0
44,60,144,1
222,55,47,1
251,204,88,1
16,197,23,1
162,159,202,1
168,208,7,1
55,195,40,1
20,218,178,1
230,71,127,1
55,55,126,0
224,132,129,1
136,157,10,1
7,62,180,1
122,11,219,1
116,42,195,1
91,16,223,1
45,46,118,0
123,135,86,1
189,95,21,1
230,151,218,1
202,149,47,1
241,1,210,1
40,242,52,1
17,240,166,1
190,175,117,1
242,144,55,1
253,126,8,1
167,123,85,1
54,37,199,1
180,255,167,1
169,189,248,1
74,31,99,0
238,236,91,1
80,249,3,1
107,246,20,1
115,191,162,1
240,191,22,1
25,91,46,0
175,45,24,1
70,181,55,1
173,99,140,1
84,238,114,1
118,249,134,1
76,163,168,1
162,239,207,1
244,112,35,1
154,198,222,1
160,7,149,1
250,249,153,1
62,10,223,1
145,42,179,1
5,121,211,1
13,104,6,0
238,112,215,1
174,138,61,1
130,170,87,1
7,227,17,1
248,29,58,1
51,132,105,1
220,31,194,1
17,22,192,1
93,221,132,1
166,60,168,1
125,73,38,0
129,198,47,1
90,77,53,0
65,234,87,1
86,248,25,1
78,173,11,1
114,230,129,1
166,29,75,1
73,133,164,1
135,141,75,1
61,232,151,1
144,46,198,1
187,14,127,1
142,77,181,1
129,44,165,1
74,178,47,1
185,51,22,1
3,190,168,1
140,60,217,1
1,102,69,0
49,148,3,1
16,103,198,1
201,235,17,1
221,44,44,1
89,145,84,1
11,2,9,0
103,219,66,1
224,188,25,1
109,220,37,1
92,84,219,1
8,109,253,1
88,64,106,0
105,214,185,1
14,149,147,1
78,230,213,1
159,118,142,1
220,62,186,1
48,219,111,1
163,87,188,1
144,12,84,1
117,118,83,0
57,199,73,1
74,152,100,1
28,49,55,0
150,27,92,1
255,254,254,1
159,60,16,1
86,176,196,1
130,177,236,1
238,38,245,1
75,145,140,1
220,185,209,1
148,154,42,1
196,253,108,1
83,242,169,1
40,128,123,1
238,111,163,1
245,115,45,1
183,146,23,1
3,163,185,1
78,247,74,1
13,169,103,1
35,164,252,1
40,44,0,0
41,247,89,1
154,9,174,1
247,25,173,1
128,226,2,1
47,149,10,1
34,151,4,1
158,78,57,1
3,181,138,1
12,46,27,0
224,34,229,1
166,101,226,1
184,90,226,1
9,208,198,1
117,94,6,0
57,169,100,1
122,209,11,1
53,55,120,0
103,25,103,0
78,94,57,0
139,255,157,1
202,210,248,1
143,219,10,1
41,26,192,1
146,47,141,1
124,220,242,1
43,147,99,1
161,143,162,1
140,24,213,1
51,13,220,1
129,70,54,1
230,189,133,1
107,190,163,1
73,70,29,0
218,30,118,1
23,3,43,0
148,237,35,1
168,96,229,1
249,167,94,1
250,61,175,1
77,159,205,1
100,99,236,1
95,149,215,1
119,118,155,1
201,252,44,1
146,137,37,1
120,188,137,1
52,194,95,1
22,50,172,1
85,31,118,0
141,110,133,1
174,64,224,1
84,188,185,1
133,118,150,1
67,60,122,0
71,62,122,0
3,39,63,0
120,116,10,0
73,25,1,0
116,115,252,1
190,88,39,1
95,30,210,1
226,196,6,1
51,170,249,1
31,22,106,0
64,204,26,1
134,241,165,1
34,235,8,1
250,10,198,1
242,61,18,1
231,68,243,1
92,37,91,0
254,240,224,1
86,15,45,0
152,102,207,1
67,235,46,1
106,253,220,1
6,156,57,1
143,48,31,1
